example_id,customer_message,generated_response,historical_evidence,human_groundedness,human_helpfulness,human_actionability,human_safety,human_historical_consistency,human_unsupported_claim_avoidance,human_rating_complete,labeler_id,human_rating_reason,rated_at,updated_at
gold-183,Hi @115830 can you please fix your app... faceID doesn’t work https://t.co/hLeSCqBkN6,"We've noticed your app is having issues with Face ID. Could you please confirm if you're using the latest version of the app? If not, updating might resolve this. If the problem persists, we'll help you troubleshoot further.","Historical customer: Hi @115850 i was asked to change my password on App .is something fishy ?
Historical AmazonHelp reply: @199058 Is this a notification on app or a human request? ^MJ

Historical customer: @117795 your app has not been working for days. What’s going on?
Historical AmazonHelp reply: @419468 Oh no! This is not the experience we want our customers to have. Do you have the latest version of the app installed? ^NN

Historical customer: @119625 is this some bug in your app? https://t.co/qTInoInVL6
Historical AmazonHelp reply: @560384 We'd like to get this checked. Could you let us know the exact problem you're facing . ^KH",4,4,4,5,5,4,True,Maithresh,Latest-app-version advice is directly supported; saying an update might resolve it is a small inference.,2026-09-10T18:19:00+05:30,2026-09-10T18:19:00+05:30
gold-055,@115821 UNLOCK MY ACCOUNT. I DON'T KNOW WHY YOU LOCKED ME OUT. YOU ARE HOLDING MY MONEY HOSTAGE.,"I'm sorry this needs further investigation. Please contact Amazon through a secure support channel, and do not post order, address, account, or payment details publicly.","Historical customer: @115830 then try to click ""Contact Us"" so you can unlock my account and it asks me to log in! I have already rung you and no responbse.
Historical AmazonHelp reply: @559457 Hi, sorry to hear that, have you tried calling us on the number found here: https://t.co/zYVX1Qi29G? ^JJ

Historical customer: Why is it so hard for you to protect my account @115821 ?? You've given me the run around for 6 days.
Historical AmazonHelp reply: @391447 I apologize for the poor experience, Jacki. This isn't what we want to hear! What options have you been given so far? ^FD

Historical customer: Hi @115830. I'm locked out of my account. Can't verify on my phone as email with code not coming through. No other option to verify. Help!
Historical AmazonHelp reply: @490661 Oh no! So sorry for the trouble. When you can, give us a ring here: https://t.co/zYVX1Qi29G. We'll be happy to help! ^BL",4,3,4,5,4,5,True,Maithresh,"Safe escalation matches historical handling, but the response is generic for a locked-account case.",2026-09-10T18:19:00+05:30,2026-09-10T18:19:00+05:30
gold-100,@AmazonHelp takes 2 hours to send verification code which expires in 10 minutes. #frustrated,"I'm sorry this needs further investigation. Please contact Amazon through a secure support channel, and do not post order, address, account, or payment details publicly.","Historical customer: @AmazonHelp Done. Awaiting your response.
Historical AmazonHelp reply: @298340 As you've shared your details, we'll work on it and get back to you. ^HN

Historical customer: @AmazonHelp Thanks for the quick response, do you have any clue how long there will go before I get a response on my mail?
Historical AmazonHelp reply: @187926 E-mail responses can take 24-48 hours. Please reach out to us via phone/chat if you would like live assistance with this. ^TK

Historical customer: @AmazonHelp nothing will happen i know as if in 3 days nothing happened how could i trust you people!! Fake assurance
Historical AmazonHelp reply: @351184 Apologies for the ordeal, we're working on this and we'll get back to you soon. ^PS",3,3,3,5,4,5,True,Maithresh,"Safe response, but the retrieved evidence is not specifically about delayed verification codes.",2026-09-10T18:19:00+05:30,2026-09-10T18:19:00+05:30
gold-044,@AmazonHelp why does my fire stick just randomly decided to restart.  Tuff to watch football games when this happens thanks,I'm sorry to hear about your Fire Stick restarting unexpectedly. Could you share what error message you're seeing or any specific symptoms? This helps us troubleshoot the issue more effectively.,"Historical customer: @116439 having to restart my fire TV has become a daily occurrence, what gives? #notcool
Historical AmazonHelp reply: @292992 That's strange! Without posting personal/account details, can you tell us what's going? What error message are you seeing? ^JM

Historical customer: My firestick just stopped working out of the blue 😒 @115821 wassup?
Historical AmazonHelp reply: @342264 I'm sorry for the trouble with your Fire Stick! Have you had a chance to review these steps?: https://t.co/e1rmv8M525 ^SD

Historical customer: My amazon fire stick isn’t working. Anyone else?
Historical AmazonHelp reply: @411792 Oh no! Lets get this fixed for you, Kathleen. What is the issue you are experiencing, exactly? Please let us know! ^JD",5,4,4,5,5,5,True,Maithresh,Very strong match: historical Amazon handling also asks about the exact app or device problem.,2026-09-10T18:19:00+05:30,2026-09-10T18:19:00+05:30
gold-190,"I ordered a @115821 basics water filter, it was 2 days late and now it’s leaving black bits in my water!!!! I’m ill, I’d rather not be more ill!!!","I'm sorry this needs further investigation. Please contact Amazon through a secure support channel, and do not post order, address, account, or payment details publicly.","Historical customer: When you order shit from @115821 and expect it to arrive by the date they say and NOTHING gets here! Awesome. Cool. Amazing. 😡😡😡
Historical AmazonHelp reply: @412761 Did you provide your information using the link provided by LS? ^MJ

Historical customer: My @115821 order has been ""arriving today"" for 2 days now. Interesting.
Historical AmazonHelp reply: @702018 I'm sorry you haven't received your order yet! Which carrier was scheduled to deliver your package? You can check here: https://t.co/Y5jpI9gRhE ^TN

Historical customer: @115830 has just got worse, will not be usin this company again after them throwing my item into a random garden, so I haven't received it
Historical AmazonHelp reply: @439344 I'm sorry to hear about this! We'd like to work on a resolution with you. Please use this link: https://t.co/JzP7hlA23B ^TH",2,3,3,5,3,5,True,Maithresh,"Safe escalation, but the retrieved evidence poorly matches the water-filter defect and safety concern.",2026-09-10T18:19:00+05:30,2026-09-10T18:19:00+05:30
gold-072,Mum ordered 2 Yankee Candles from @115830. Courier threw the box over the garden fence onto concrete and both are shattered. Returns process started.,"I'm sorry this needs further investigation. Please contact Amazon through a secure support channel, and do not post order, address, account, or payment details publicly.","Historical customer: @115830 has just got worse, will not be usin this company again after them throwing my item into a random garden, so I haven't received it
Historical AmazonHelp reply: @439344 I'm sorry to hear about this! We'd like to work on a resolution with you. Please use this link: https://t.co/JzP7hlA23B ^TH

Historical customer: Second time that my @115850 pantry order is all messed up with contents missing, wud never try your pantry service again.
Historical AmazonHelp reply: @449287 Apologies for inconvenience with your order, Vineet. Please report this to our support team here: https://t.co/beaaDm0muc &amp; we'll get this sorted.^SF

Historical customer: @115850 : it seems that you guys are more interested in getting products returned than delivery..check order #.[PHONE]
Historical AmazonHelp reply: @319805 I'm sorry for the trouble with the delivery. However, we'll not be able to check your information over Twitter. Request 1/2 ^GK",4,3,3,5,4,5,True,Maithresh,"Historical evidence supports escalation for damaged or mishandled deliveries, though the reply is generic.",2026-09-10T18:19:00+05:30,2026-09-10T18:19:00+05:30
gold-006,@AmazonHelp tracking my parcel says it was handed to resident. This is a lie. I have been in all evening and nothing has been delivered. Please can you send item again at no cost to myself.,"I'm sorry this needs further investigation. Please contact Amazon through a secure support channel, and do not post order, address, account, or payment details publicly.","Historical customer: @AmazonHelp out parcel says delivered on my account to a neighbour but nobody has it and no note through door
Historical AmazonHelp reply: @218493 I'm sorry for the trouble. We'd like to look at this with you. Please contact us here: https://t.co/JzP7hlA23B ^MH

Historical customer: @AmazonHelp Hi there. My parcel was supposedly delivered to a neighbour but is nowhere to be found. Can you advise how to proceed? Thanks!
Historical AmazonHelp reply: @389113 I'm so sorry to hear this! Here's some tips for a parcel you are unable to locate: https://t.co/PaDuqehvUk ^MJ

Historical customer: Great job @115821 @AmazonHelp leaving my parcels on the doorstep for the whole world to see!!! Glad we pay delivery for no actual reason
Historical AmazonHelp reply: @692185 I'm sorry for the trouble with the delivery, Hayley.  Please give us a chance to take a closer look and provide feedback by reaching out via phone or chat here: https://t.co/JzP7hlA23B. ^TG",5,3,4,5,5,5,True,Maithresh,Evidence closely matches a parcel marked delivered but missing; the safe handoff is well grounded.,2026-09-10T18:19:00+05:30,2026-09-10T18:19:00+05:30
gold-180,"@AmazonHelp my friend @220734 had his order of @84429 merch stolen from his porch, please help","I'm sorry to hear about your friend's order being stolen. For security concerns like this, please contact Amazon's official support team directly through their website or app to report the theft and initiate a security review. They can help you with the next steps for your friend's account.","Historical customer: @AmazonHelp anyone I can get into contact with regarding amazon merch? the support email has been unresponsive
Historical AmazonHelp reply: @734368 I'm sorry you're having trouble with Merch by Amazon. Are you already a content creator for Merch by Amazon, or are you trying to sign up? ^JS

Historical customer: @AmazonHelp hi I just received an order from you and it’s arrived damaged :(
Historical AmazonHelp reply: @192340 I'm terribly sorry your order arrived damaged! Please see the avail refund/replace options here: https://t.co/icfSETpdft ^WJ

Historical customer: @AmazonHelp Can I you advise if this is a legit email from you? My phone was recently stolen so worried someone has done something thanks
Historical AmazonHelp reply: @171456 That is a fake email, Laura. Here's a link to a help page that will help you identify those: https://t.co/8PUfYueTiD ^EM",2,3,4,5,2,2,True,Maithresh,"Official support is reasonable, but framing porch theft as a security review is not supported by the retrieved evidence.",2026-09-10T18:19:00+05:30,2026-09-10T18:19:00+05:30
gold-114,@115850 Why the hell your expected delivery time and actual delivery time vary so much?  It was showing delivery by 2nd dec and im getting call to collect it today only,I'm sorry to hear about the delivery timing discrepancy. Could you please share the current status of your order from the tracking page? This will help us investigate the issue and provide a clear resolution.,"Historical customer: @115821 i still haven't received my delivery that's almost 2 weeks late?!!
Historical AmazonHelp reply: @195359 We're here to help! What does the tracking currently display? What was the delivery date? Check: https://t.co/aaDyEz1VgE ^JE

Historical customer: @115821 how is it arriving by 9pm today and not even out for delivery? https://t.co/I3Cpsdw888
Historical AmazonHelp reply: @237513 I'm sorry your order hasn't shipped as expected! Please reach out to us here for further assistance: https://t.co/hApLpMlfHN ^QJ

Historical customer: why offer ""same day"" yet you dont deliver same day @115821
Historical AmazonHelp reply: @408982 I'm sorry for this wait. What was the initial delivery date given when you ordered: https://t.co/Y5jpI9gRhE ^DO",5,4,4,5,5,4,True,Maithresh,Asking for current tracking status closely mirrors historical handling; the promise of a clear resolution is slightly stronger than the evidence.,2026-09-10T18:19:00+05:30,2026-09-10T18:19:00+05:30
gold-094,@28989 @115821 Update for the two people that care: it was not delivered!!,"I'm sorry this needs further investigation. Please contact Amazon through a secure support channel, and do not post order, address, account, or payment details publicly.","Historical customer: @115821 how my package was delivered. Not cool https://t.co/JOZWwm2Rrx
Historical AmazonHelp reply: @405205 Oh no! So sorry about this! Were any items missing from your package? ^VB

Historical customer: @115821 y'all kinda suck, I was supposed to get a package today by 8, it just now says it was delivered but I didn't get anything
Historical AmazonHelp reply: @424343 So sorry about that! We have some tips for locating a missing package here: https://t.co/igdhiEbKxn. Keep us in the loop! ^BL

Historical customer: @115821 i still haven't received my delivery that's almost 2 weeks late?!!
Historical AmazonHelp reply: @195359 We're here to help! What does the tracking currently display? What was the delivery date? Check: https://t.co/aaDyEz1VgE ^JE",4,3,3,5,4,5,True,Maithresh,"Missing-delivery escalation is supported, but the reply could provide more useful initial steps.",2026-09-10T18:19:00+05:30,2026-09-10T18:19:00+05:30
