example_id,thread_id,customer_message,sampling_bucket,ai_suggested_intent,ai_suggested_escalation,ai_suggested_reason,human_intent,human_escalation,human_reason,human_label_complete
gold-001,461197,@115821 well you have 40 mins for my guaranteed delivery. what a ripoff. Last time I'll pay for 1day shipping. Canceling membership,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-002,64065,"@AmazonHelp @115821 your customer service agents try but can’t solve real problems. I have regular issues with Amazon and no one ever does anything different. As a long time prime member, I don’t feel valued at all nor do I get “prime” service. Want someone higher up to hear me.",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-003,474314,@AmazonHelp ONE week without shipping help please!,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-004,592056,Dear @115830 how the hell do you cancel a kindle book ordered in error? There is no option to cancel!!,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-005,98700,@115821 I was given a SHITTTY product through your website plz contact me,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-006,503416,@AmazonHelp tracking my parcel says it was handed to resident. This is a lie. I have been in all evening and nothing has been delivered. Please can you send item again at no cost to myself.,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-007,516619,"@AmazonHelp Hi, i just had an inquiry about price because i was thinking about ordering the Razer Blackwidow Chroma V2 and the Razer Deathadder as the prices on them had gone down and as soon as i was about to order them, they went back up!",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-008,765354,@AmazonHelp Plus to top it all off I still haven't received the items that I've paid for. I have contacted prime 3 times to which they all say they will be with you in 24hours. Still have nothing!  Please explain as it is unacceptable for a company of your size and stature.,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-009,490476,"#amzl_us getting tired of delays.. first amzl_us package delivered to a neighbor, now a second after being delayed by a WEEK being delivered in St. Petersburg. I dont LIVE in St. Petersburg? And 3rd package hasnt even been shipped but it was expected 29th Im tired of using amazon",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-010,2859979,"@AmazonHelp So no order but they will try to contact courier tomorrow, ok no rush do it when you can i didnt really want the package, thats why i ordered it",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-011,586911,"@AmazonHelp grrrr trying to watch Vikings today on prime but it keeps saying band with to low.

A load of b.s. everything else is running fine",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-012,2927738,Please ring my doorbell so I have a chence to get my packages before thiefs do @115821 @115817 @81   Y'all do it.  We all hate it. Come on,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-013,2906581,@115830 why do I pay prime membership when nothing turns up next day even though it says it will and I can buy the items cheaper not on prime. Time to cancel I think.,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-014,83415,"@115823 @38806 @106286 @106287 @106288 @106289 @134327 Please dont trapped in this Amazon pay service. It has very poor customer support my money stuck up in the same counter since last 1 month, query not resolved by the customer team. 
#beware from #Amazonpay #amazon india",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-015,544333,@115821 @AmazonHelp why does my #EchoDot and #EchoPlus not have the option to play sound from both itself and a bluetooth speaker? That would be so much more useful.,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-016,2924476,"Ok if my new Echo is going to need a factory reset every damn day, you and I will need to have word, Alexa.

I care less about mine than the one I plan to give to my dad. I don't really want to gift a customer service nightmare brick.
@115821 , make your signature product work.",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-017,96748,"@AmazonHelp hi, I had two packages delivered yesterday via amazon shipping, tracking says they were handed to resident but no one in my house has received them?",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-018,521638,"@115821 I paid for two day shipping on TUESDAY. Still have no package, how can you charge 10$ for shipping but not hold up to it? My package better be here tom bro",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-019,2906729,Shout out to @118706 for the awesome customer service in the SF Bay Area when they had to deliver 50 @117093 totes to us each containing ONE little pack of sea weed snacks. Ridiculous. Is this a joke? Because nobody is laughing ✌,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-020,2881290,"@115850 @AmazonHelp once again amazon disappointed me.he send me defective product and items was full of dust. i will suggest do not buy any items 
from amazon.",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-021,448645,@115821 is frustrating. Why pay for prime when it still takes a month or more to get ordered items. I'm still waiting on an item I ordered 11-9. It took 2 weeks to get the item from New Jersey to California! #frustrated #christmascantwait,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-022,2871551,"despite the fact that this has happened at minimum five times with my packages this year. so, @115821, what the hell?",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-023,2965306,"@AmazonHelp prime membership says it’s suspended, updated payment method but still says it’s suspended? How do I fix it to get Prime back?",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
